feature,split_importance,gain_importance,gain_fraction
gcs_total,699,331323.2215013057,0.30183377968259184
pain_score,1939,213032.96300474182,0.1940719522445232
spo2,3450,130907.7750706122,0.11925632124534241
respiratory_rate,3921,105028.99474930204,0.09568088321065657
temperature_c,2817,93564.40779731609,0.08523670246009603
shock_index,2308,38373.03806281835,0.034957643668687984
num_prior_ed_visits_12m,1509,34658.23379217461,0.03157347575945191
mean_arterial_pressure,2481,33902.68628646806,0.030885175801652953
heart_rate,2876,29842.09297299292,0.027185995822638923
mental_status_triage,768,23357.022584348917,0.021278129485825702
systolic_bp,1799,9076.376640763134,0.008268533231358571
diastolic_bp,2114,7935.089621792547,0.007228826527199254
pulse_pressure,1957,6573.466983154416,0.0059883951874963965
chief_complaint_system,1498,5950.794414065778,0.005421143625166792
height_cm,2098,5320.6624956950545,0.004847096633354211
bmi,1851,4726.685735031962,0.00430598680741991
weight_kg,1745,4514.369879648281,0.004112568136592618
age,1746,4309.145555687137,0.003925609815037868
pain_location,626,2430.0598708838224,0.0022137722564700003
num_active_medications,970,2281.7725663725287,0.0020786832717716824
num_comorbidities,871,2155.1605059988797,0.0019633403248969844
transport_origin,355,1406.3813899457455,0.0012812063358526428
num_prior_admissions_12m,285,660.7512723058462,0.0006019410684420412
sex,246,641.3218599408865,0.0005842409720088537
arrival_mode,138,527.3443311154842,0.0004804080194968995
hx_liver_disease,103,290.13690623641014,0.00026431325470618823
hx_obesity,101,271.1661514341831,0.00024703099299376764
hx_depression,101,265.5830829255283,0.0002419448458092803
age_group,50,255.44300889968872,0.00023270728963796202
hx_asthma,101,255.063325189054,0.00023236139969718002
hx_peripheral_vascular_disease,98,248.3166613355279,0.00022621522303642436
hx_malignancy,94,240.63765248656273,0.00021921968479857677
hx_copd,75,237.04037715494633,0.0002159425851585914
hx_coronary_artery_disease,84,214.86155242472887,0.00019573778796114265
hx_ckd,81,213.79242393374443,0.00019476381731115938
hx_anxiety,73,209.5674602985382,0.00019091489680007236
hx_diabetes_type2,95,208.5059401653707,0.00018994785732559397
hx_hypertension,77,204.61203482747078,0.0001864005292495873
hx_diabetes_type1,72,202.9943220168352,0.00018492680105793637
hx_substance_use_disorder,84,201.46639857441187,0.00018353487052676936
hx_hypothyroidism,75,199.19020917639136,0.00018146127349313897
hx_epilepsy,73,197.54212871566415,0.00017995988052578742
hx_hyperthyroidism,66,181.94128811359406,0.00016574759361208583
hx_atrial_fibrillation,50,174.3611512184143,0.0001588421272242596
hx_immunosuppressed,59,171.5968090891838,0.00015632382552050117
hx_dementia,49,161.76092950999737,0.00014736338895213658
hx_heart_failure,49,140.79252722114325,0.00012826128047911184
hx_hiv,71,138.7969234958291,0.0001264432955747309
hx_stroke_prior,49,137.97531381249428,0.00012569481330710998
hx_coagulopathy,38,125.23200070858002,0.00011408571949713089
hx_pregnant,30,52.737253941595554,4.8043371711601326e-05
